dot_number,usdot_number,entity_type,usdot_status,out_of_service_date,state_carrier_id_number,mcs_150_form_date,mcs_150_mileage_year,operating_authority_status,mc_mx_ff_numbers,duns_number,power_units,non_cmv_units,drivers,legal_name,dba_name,physical_address,phone,mailing_address,operation_classification,carrier_operation,cargo_carried,scraped_timestamp,response_url,response_status,success,retry_count,total_request_time
1000021,1000021,CARRIER,ACTIVE,None,,01/02/2025,"2,030 (2024)",NOT AUTHORIZED,,--,1,,1,LEITZA EXCAVATING,,"230236 COLONIAL ROAD WAUSAU, WI 54403",(715) 842-8252,"230236 COLONIAL ROAD WAUSAU, WI 54403",[object Object],[object Object],[object Object],2025-09-15 12:22:57,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000021,200,true,,0.24863719940185547
1000022,1000022,CARRIER,ACTIVE,None,,02/09/2024,"5,000 (2023)",NOT AUTHORIZED,,--,2,,1,MACHINE TOOL & EQUIPMENT INC,,"145536 COUNTY ROAD U WAUSAU, WI 54401",(715) 675-6309,"145536 COUNTY ROAD U WAUSAU, WI 54401",[object Object],[object Object],[object Object],2025-09-15 12:23:10,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000022,200,true,,0.2419588565826416
1000025,1000025,CARRIER,ACTIVE,None,,05/24/2022,500 (2021),NOT AUTHORIZED,,--,1,,1,ALEXANDER SOPHA,ALS AUTO SALVAGE,"W8416 BILKIE ROAD POYNETTE, WI 53955",(608) 635-2545,"W8416 BILKIE ROAD POYNETTE, WI 53955",[object Object],[object Object],[object Object],2025-09-15 12:23:23,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000025,200,true,,0.2429947853088379
1000030,1000030,CARRIER,ACTIVE,None,,12/08/2023,"68,446 (2022)",NOT AUTHORIZED,,10-233-6794,7,,2,WEST RAIL CONSTRUCTION CO LLC,,"504 NE 192N AVE VANCOUVER, WA 98684",(360) 260-0668,"PO BOX 820626 VANCOUVER, WA 98682",[object Object],[object Object],[object Object],2025-09-15 12:23:36,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000030,200,true,,0.24835920333862305
1000035,1000035,CARRIER,ACTIVE,None,,04/02/2025,"80,000 (2016)",NOT AUTHORIZED,,--,11,,5,SAYLOR LOGGING LLC,,"839 LEE ROAD 375 VALLEY, AL 36854",(334) 524-7364,"839 LEE ROAD 375 VALLEY, AL 36854",[object Object],[object Object],[object Object],2025-09-15 12:23:49,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000035,200,true,,0.26072144508361816
1000050,1000050,CARRIER,ACTIVE,None,,,"72,000 (2001)",NOT AUTHORIZED,,--,1,,1,ROGER L BUNCH,,"108 ST CHARLES CT GLASGOW, KY 42141",(270) 651-3940,"108 ST CHARLES CT GLASGOW, KY 42141",[object Object],[object Object],[object Object],2025-09-15 12:24:01,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000050,200,true,,0.2453315258026123
1000058,1000058,CARRIER,ACTIVE,None,,07/24/2025,"1,200,000 (2025)",NOT AUTHORIZED,,--,17,,19,BUTTERY COMPANY LLP,,"201 WEST MAIN LLANO, TX 78643",(800) 880-1515,"201 WEST MAIN LLANO, TX 78643",[object Object],[object Object],[object Object],2025-09-15 12:24:14,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000058,200,true,,0.2663760185241699
1000061,1000061,CARRIER,ACTIVE,None,,09/19/2024,"8,000 (2024)",NOT AUTHORIZED,,--,1,,2,PREMIER WOODWORKING CONCEPTS LTD,PREMIER DESIGN GROUP LTD,"1016 RAIL DRIVE WOODSTOCK, IL 60098",(815) 334-0888,"1016 RAIL DRIVE WOODSTOCK, IL 60098",[object Object],[object Object],[object Object],2025-09-15 12:24:27,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000061,200,true,,0.28191494941711426
1000062,1000062,CARRIER,ACTIVE,None,,07/04/2024,"45,873 (2023)",AUTHORIZED FOR Property,MC-1506511,--,1,,1,RICHARD ANTHONY HARMON,NURSERY EXPRESS,"21179 COUNTY ROAD 4106 LINDALE, TX 75771",(903) 530-9328,"PO BOX 2282 LINDALE, TX 75771",[object Object],[object Object],[object Object],2025-09-15 12:24:40,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000062,200,true,,0.2684621810913086
1000066,1000066,CARRIER,ACTIVE,None,,10/28/2024,"400,000 (2023)",AUTHORIZED FOR Property,MC-589317,--,6,,6,PPX LOGISTICS INC,,"4130 MENNES AVE #12 JURUPA VALLEY, CA 92509",(951) 906-3601,"5762 JENSEN RANCH ROAD JURUPA VALLEY, CA 92509",[object Object],[object Object],[object Object],2025-09-15 12:24:52,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1000066,200,true,,0.2473757266998291
